Name,A,Omega,Betai,Mprog,Mcore,Rcore,Mi,Ri,rhoci,EOS
signal_s15a2o09_shen,1,4.56,1.09,15,1.55,1.94,1.81,3.88,6.5,Shen
signal_s15a2o13_ls,1,6.45,2.18,15,1.55,1.94,1.81,3.88,6.5,LS
signal_s15a2o13_shen,1,6.45,2.18,15,1.55,1.94,1.81,3.88,6.5,Shen
signal_s15a2o15_ls,1,7.6,3.03,15,1.55,1.94,1.81,3.88,6.5,LS
signal_s15a2o15_shen,1,7.6,3.03,15,1.55,1.94,1.81,3.88,6.5,Shen
signal_s15a3o05_ls,0.5,4.21,0.27,15,1.55,1.94,1.81,3.88,6.5,LS
signal_s15a3o05_shen,0.5,4.21,0.27,15,1.55,1.94,1.81,3.88,6.5,Shen
signal_s15a3o07_ls,0.5,5.95,0.53,15,1.55,1.94,1.81,3.88,6.5,LS
signal_s15a3o07_shen,0.5,5.95,0.53,15,1.55,1.94,1.81,3.88,6.5,Shen
signal_s15a3o09_ls,0.5,8.99,0.96,15,1.55,1.94,1.81,3.88,6.5,LS
signal_s15a3o09_shen,0.5,8.99,0.96,15,1.55,1.94,1.81,3.88,6.5,Shen
signal_s15a3o12_ls,0.5,10.65,1.71,15,1.55,1.94,1.81,3.88,6.5,LS
signal_s15a3o12_shen,0.5,10.65,1.71,15,1.55,1.94,1.81,3.88,6.5,Shen
signal_s15a3o13_ls,0.5,11.3,1.92,15,1.55,1.94,1.81,3.88,6.5,LS
signal_s15a3o13_shen,0.5,11.3,1.92,15,1.55,1.94,1.81,3.88,6.5,Shen
signal_s15a3o15_ls,0.5,13.31,2.67,15,1.55,1.94,1.81,3.88,6.5,LS
signal_s15a3o15_shen,0.5,13.31,2.67,15,1.55,1.94,1.81,3.88,6.5,Shen
signal_s20a1o01_ls,50,0.45,0.05,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a1o01_shen,50,0.45,0.05,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s20a1o05_ls,50,1.01,0.25,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a1o05_shen,50,1.01,0.25,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s20a1o07_ls,50,1.43,0.5,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a1o07_shen,50,1.43,0.5,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s20a1o09_ls,50,1.91,0.9,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a1o09_shen,50,1.91,0.9,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s20a1o13_ls,50,2.71,1.8,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a1o13_shen,50,2.71,1.8,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s20a2o05_ls,1,2.4,0.25,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a2o05_shen,1,2.4,0.25,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s20a2o07_ls,1,3.4,0.5,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a2o07_shen,1,3.4,0.5,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s20a2o09_ls,1,4.56,0.9,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a2o09_shen,1,4.56,0.9,20,1.46,1.69,1.59,3.48,8.77,Shen
signal_s20a2o13_ls,1,6.45,1.8,20,1.46,1.69,1.59,3.48,8.77,LS
signal_s20a2o13_shen,1,6.45,1.8,20,1.46,1.69,1.59,3.48,8.77,Shen
